family,num_scenarios,n_x,n_y,n_recourse_rows,xi_dim,raw_model_num_vars,raw_model_num_sos,max_runtime_sec,mean_runtime_sec,median_node_count,median_nonoptimal_mip_gap,median_objective_gamma,median_runtime_sec,num_instances,num_optimal,num_time_limit,num_with_incumbent,optimal_fraction
med,10,15,150,25,25,550,175,16.133892059326172,8.245951414108276,172132.0,,0.8464747261478353,4.953459024429321,5,5,0,5,1.0
med,10,20,300,35,35,1040,335,300.0004529953003,300.00024337768554,6202162.0,1.0,2.0800842228383662,300.0001950263977,5,0,5,5,0.0
med,10,30,600,50,50,2000,650,300.00026679039,300.0002277851105,2870947.0,1.0,5.786012667348295,300.00023102760315,5,0,5,5,0.0
small,10,4,12,7,7,64,19,0.01726222038269043,0.010617494583129883,63.0,,0.990050172588429,0.011973142623901367,5,5,0,5,1.0
small,10,6,30,11,11,134,41,0.06341099739074707,0.037913846969604495,1160.0,,0.6741089454026663,0.032723188400268555,5,5,0,5,1.0
small,10,8,48,14,14,200,62,0.20298385620117188,0.11866703033447265,2955.0,,0.6814441471791421,0.1147160530090332,5,5,0,5,1.0
