scenario,termination_condition,Q_value,num_fixed_first_stage_vars
SCEN175,optimal,848.545142,12
SCEN176,optimal,1476.052508,12
SCEN177,optimal,2653.203341,12
SCEN178,optimal,848.940234,12
SCEN179,optimal,1748.875867,12
SCEN180,optimal,849.962574,12
SCEN181,optimal,844.284973,12
SCEN182,optimal,1476.052508,12
SCEN183,optimal,845.50656,12
SCEN184,optimal,2656.549352,12
SCEN185,optimal,1869.7008779999999,12
SCEN186,optimal,1869.7008779999999,12
SCEN187,optimal,845.50656,12
SCEN188,optimal,1872.73946,12
SCEN189,optimal,1748.788204,12
SCEN190,optimal,2379.800529,12
SCEN191,optimal,2379.800529,12
SCEN192,optimal,2379.800529,12
SCEN193,optimal,1752.221878,12
SCEN194,optimal,966.147059,12
SCEN195,optimal,1596.965182,12
SCEN196,optimal,1749.2545810000001,12
SCEN197,optimal,1476.052508,12
SCEN198,optimal,844.592402,12
SCEN199,optimal,847.630984,12
SCEN200,optimal,1476.052508,12
