family,num_scenarios,n_x,n_y,n_recourse_rows,xi_dim,N,errors,mean_mip_runtime_sec,median_bound_preprocessing_sec,median_continuous_relaxation_bound,median_factorial_over_hadamard_factor_ratio,median_log10_M_mu,median_log10_M_primal,median_log10_M_rc_max,median_mip_runtime_sec,median_nodes,median_nonoptimal_gap,median_total_runtime_sec,optimal,time_limit
hard,10,100,7500,175,175,5,5,,,,,,,,,,,,0,0
hard,10,50,1500,80,80,5,0,0.01641697883605957,18.59140637499877,0.0,5.384287516755381e+42,78.16491526026704,77.32397013409948,78.46594525593102,0.01546788215637207,1.0,,18.607188250000036,5,0
hard,10,75,3750,125,125,5,5,,,,,,,,,,,,0,0
med,10,15,150,25,25,5,0,0.0015854358673095704,0.0008205839985748753,0.0,52046984.26366673,19.514708664540322,18.63556581244078,19.815738660204303,0.0015311241149902344,1.0,,0.0025634159974288195,5,0
med,10,20,300,35,35,5,0,0.0023041725158691405,2.066677582999546,0.0,9841059831266.97,29.061940071186324,28.176091590654682,29.362970066850306,0.0022890567779541016,1.0,,2.069192415998259,5,0
med,10,30,600,50,50,5,0,0.006035041809082031,5.0789539580000564,0.0,1.0205276221785523e+22,44.515155498498906,43.70002647614691,44.81618549416289,0.005917072296142578,1.0,,5.084941375000199,5,0
small,10,4,12,7,7,5,0,0.009147548675537109,0.0005407079988799524,0.0,5.5537636850335454,4.959104504139422,4.309555555097479,5.260373716540166,0.00909876823425293,19.0,,0.009739998997247312,5,0
small,10,6,30,11,11,5,0,0.04901003837585449,0.0004617079976014793,0.0,74.73016646429812,7.755967208715479,6.947591591269856,8.056997610911093,0.033883094787597656,228.0,,0.034546374998171814,5,0
small,10,8,48,14,14,5,0,0.0004786968231201172,0.0005272919988783542,0.0,827.0125542928557,10.060346641196215,9.137129714070122,10.361376638920152,0.0004980564117431641,0.0,,0.001172375999885844,0,0
